PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff,str_diff,sem_diff,sign_diff,fre_diff,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
STU11,male,26,91,master,16, , , ,K32,J10,J10,K32,-1,1,-.69631,.15635,0,2.5662,-.80539,-1.45236,.58059,-1.21716,1.32842,-.43167,-.4277,0,0,0,2.5662,-.80539
STU11,male,26,91,master,16, , , ,K32,H79,H79, ,-1, ,-.129216667,1.028183333,1.69061,2.5662,1.20808,-.96824,.58059,0,2.65685,0,.4277,1.77705,2.09956,1.19522,2.5662,1.20808
STU11,male,26,91,master,16, , , ,WC-H,J10, ,WC-H, ,1,-1.286226667,.013783333,-.58321,.4277,-2.01347,-1.45236,-.58058,-1.82574,1.32842,-.43167,-.8554,0,-1.74963,0,.4277,-2.01347
STU11,male,26,91,master,16, , , ,WC-H,H79,WC-H, ,1, ,-.719133333,.885616667,1.1074,.4277,0,-.96824,-.58058,-.60858,2.65685,0,0,1.77705,.34993,1.19522,.4277,0
STU11,male,26,91,master,16, , , ,J10,H79,J10,H79,1,-1,.567093333,.871833333,1.69061,0,2.01347,.48412,0,1.21716,1.32843,.43167,.8554,1.77705,2.09956,1.19522,0,2.01347
STU12,male,25,77,master,62, , , ,L11,H79,H79,H79,-1,-1,-1.668886667,-2.000676667,1.971453333,-.44426,1.01273,-1.50471,-2.03809,-1.46386,-1.22474,-2.90473,-1.87256,1.40385,2.06102,2.44949,-.44426,1.01273
STU12,male,25,77,master,62, , , ,L11,J10,J10,J10,-1,-1,-.487953333,-.730993333,.891966667,-.44426,1.01273,0,0,-1.46386,-1.22474,-.96824,0,.9359,.51525,1.22475,-.44426,1.01273
STU12,male,25,77,master,62, , , ,L11,WC-J,L11,WC-J,1,-1,-.243976667,-2.294243333,-.155983333,-1.77705,0,0,0,-.73193,-2.44949,-1.93649,-2.49675,-.46795,0,0,-1.77705,0
STU12,male,25,77,master,62, , , ,L11,H92,H92,H92,-1,-1,-.972,-1.555366667,1.547436667,-.88852,1.01273,-1.50471,-.67936,-.73193,-2.44949,-.96824,-1.24837,1.8718,1.54576,1.22475,-.88852,1.01273
STU12,male,25,77,master,62, , , ,L11,K32,K32,K32,-1,-1,-2.407623333,-1.555366667,-.327733333,-2.66557,-1.51911,-2.25707,-2.03809,-2.92771,-2.44949,-.96824,-1.24837,-.46795,-.51525,0,-2.66557,-1.51911
STU12,male,25,77,master,62, , , ,H79,J10,H79,H79,1,1,1.180933333,1.269683333,-1.079486667,0,0,1.50471,2.03809,0,0,1.93649,1.87256,-.46795,-1.54577,-1.22474,0,0
STU12,male,25,77,master,62, , , ,H79,WC-J,H79,H79,1,1,1.42491,-.293566667,-2.127436667,-1.33279,-1.01273,1.50471,2.03809,.73193,-1.22475,.96824,-.62419,-1.8718,-2.06102,-2.44949,-1.33279,-1.01273
STU12,male,25,77,master,62, , , ,H79,H92,H92, ,-1, ,.696886667,.44531,-.424016667,-.44426,0,0,1.35873,.73193,-1.22475,1.93649,.62419,.46795,-.51526,-1.22474,-.44426,0
STU12,male,25,77,master,62, , , ,H79,K32,K32,H79,-1,1,-.738736667,.44531,-2.299186667,-2.22131,-2.53184,-.75236,0,-1.46385,-1.22475,1.93649,.62419,-1.8718,-2.57627,-2.44949,-2.22131,-2.53184
STU12,male,25,77,master,62, , , ,J10,WC-J,J10,J10,1,1,.243976667,-1.56325,-1.04795,-1.33279,-1.01273,0,0,.73193,-1.22475,-.96825,-2.49675,-1.40385,-.51525,-1.22475,-1.33279,-1.01273
STU12,male,25,77,master,62, , , ,J10,H92,J10,H92,1,-1,-.484046667,-.824373333,.65547,-.44426,0,-1.50471,-.67936,.73193,-1.22475,0,-1.24837,.9359,1.03051,0,-.44426,0
STU12,male,25,77,master,62, , , ,J10,K32,J10,K32,1,-1,-1.91967,-.824373333,-1.2197,-2.22131,-2.53184,-2.25707,-2.03809,-1.46385,-1.22475,0,-1.24837,-1.40385,-1.0305,-1.22475,-2.22131,-2.53184
STU12,male,25,77,master,62, , , ,WC-J,H92,H92,H92,-1,-1,-.728023333,.738876667,1.70342,.88853,1.01273,-1.50471,-.67936,0,0,.96825,1.24838,2.33975,1.54576,1.22475,.88853,1.01273
STU12,male,25,77,master,62, , , ,WC-J,K32,K32,K32,-1,-1,-2.163646667,.738876667,-.17175,-.88852,-1.51911,-2.25707,-2.03809,-2.19578,0,.96825,1.24838,0,-.51525,0,-.88852,-1.51911
STU12,male,25,77,master,62, , , ,H92,K32,K32,H92,-1,1,-1.435623333,0,-1.87517,-1.77705,-2.53184,-.75236,-1.35873,-2.19578,0,0,0,-2.33975,-2.06101,-1.22475,-1.77705,-2.53184
STU13,male,25,85,master,51, , , ,WC-J,J10,J10,J10,-1,-1,-1.77013,-2.252516667,-1.176743333,-.67936,0,-2.18002,-1.51911,-1.61126,-2.82842,-1.99264,-1.93649,-1.38379,-1.2831,-.86334,-.67936,0
STU13,male,25,85,master,51, , , ,WC-J,L12,L12,L12,-1,-1,.337576667,-.457106667,-1.02299,-.67936,2.47716,0,1.01273,0,-.7071,-.66422,0,-.92253,-1.2831,-.86334,-.67936,2.47716
STU13,male,25,85,master,51, , , ,WC-J,K32,K32,K32,-1,-1,-1.08209,-2.23822,-.736533333,-.67936,.82572,-1.63501,0,-1.61126,-2.12132,-2.65685,-1.93649,-.92253,-.8554,-.43167,-.67936,.82572
STU13,male,25,85,master,51, , , ,WC-J,H92, ,H92, ,-1,.516603333,-1.135616667,1.024306667,1.35873,1.65144,0,1.01273,.53708,-1.41421,-1.99264,0,.92253,.8554,1.29499,1.35873,1.65144
STU13,male,25,85,master,51, , , ,WC-J,H79, ,H79, ,-1,.516603333,-1.135616667,1.024306667,1.35873,1.65144,0,1.01273,.53708,-1.41421,-1.99264,0,.92253,.8554,1.29499,1.35873,1.65144
STU13,male,25,85,master,51, , , ,J10,L12,J10, ,1, ,2.107706667,1.79541,.153753333,0,2.47716,2.18002,2.53184,1.61126,2.12132,1.32842,1.93649,.46126,0,0,0,2.47716
STU13,male,25,85,master,51, , , ,J10,K32,J10,K32,1,-1,.68804,.014296667,.44021,0,.82572,.54501,1.51911,0,.7071,-.66421,0,.46126,.4277,.43167,0,.82572
STU13,male,25,85,master,51, , , ,J10,H92,J10,J10,1,1,2.286733333,1.1169,2.20105,2.03809,1.65144,2.18002,2.53184,2.14834,1.41421,0,1.93649,2.30632,2.1385,2.15833,2.03809,1.65144
STU13,male,25,85,master,51, , , ,J10,H79,J10,J10,1,1,2.286733333,1.1169,2.20105,2.03809,1.65144,2.18002,2.53184,2.14834,1.41421,0,1.93649,2.30632,2.1385,2.15833,2.03809,1.65144
STU13,male,25,85,master,51, , , ,L12,K32,K32,K32,-1,-1,-1.419666667,-1.781113333,.286456667,0,-1.65144,-1.63501,-1.01273,-1.61126,-1.41422,-1.99263,-1.93649,0,.4277,.43167,0,-1.65144
